"Date","Price","Open","High","Low","Vol.","Change %"
"08/27/2023","15,490.86","15,035.48","15,618.85","14,948.92","1.18B","3.67%"
"08/20/2023","14,941.83","14,762.01","15,279.24","14,715.36","1.22B","1.68%"
"08/13/2023","14,694.84","14,988.42","15,206.26","14,557.83","1.13B","-2.22%"
"08/06/2023","15,028.07","15,355.62","15,410.85","14,973.67","1.11B","-1.62%"
"07/30/2023","15,274.92","15,774.30","15,803.55","15,258.69","1.30B","-3.02%"
"07/23/2023","15,750.93","15,475.15","15,795.51","15,374.66","1.31B","2.11%"
"07/16/2023","15,425.67","15,608.28","15,932.05","15,410.57","1.90B","-0.90%"
"07/09/2023","15,565.60","15,031.95","15,720.06","14,924.64","1.29B","3.52%"
"07/02/2023","15,036.85","15,190.54","15,275.18","14,969.14","856.51M","-0.94%"
"06/25/2023","15,179.21","14,866.66","15,213.75","14,687.02","1.33B","1.93%"
"06/18/2023","14,891.48","15,036.48","15,127.42","14,794.95","1.26B","-1.28%"
"06/11/2023","15,083.92","14,617.35","15,284.65","14,571.36","1.96B","3.82%"
"06/04/2023","14,528.36","14,550.13","14,672.85","14,283.88","1.35B","-0.13%"
"05/28/2023","14,546.64","14,465.59","14,595.81","14,216.16","1.51B","1.74%"
"05/21/2023","14,298.41","13,805.33","14,329.49","13,520.92","1.41B","3.59%"
"05/14/2023","13,803.49","13,352.26","13,874.42","13,297.85","1.21B","3.47%"
"05/07/2023","13,340.17","13,247.09","13,427.42","13,193.08","1.20B","0.61%"
"04/30/2023","13,259.13","13,229.11","13,291.11","12,938.45","1.23B","0.10%"
"04/23/2023","13,245.99","12,981.71","13,247.39","12,724.24","1.37B","1.89%"
"04/16/2023","13,000.77","13,053.26","13,196.18","12,899.64","1.09B","-0.60%"
"04/09/2023","13,079.52","12,936.52","13,152.28","12,833.31","1.08B","0.13%"
"04/02/2023","13,062.60","13,084.10","13,204.08","12,846.03","951.62M","-0.90%"
"03/26/2023","13,181.35","12,797.90","13,188.83","12,517.87","1.24B","3.25%"
"03/19/2023","12,767.05","12,487.79","12,943.62","12,407.82","1.43B","1.97%"
"03/12/2023","12,519.88","11,752.10","12,674.34","11,695.41","2.08B","5.83%"
"03/05/2023","11,830.28","12,344.65","12,466.88","11,789.86","1.32B","-3.75%"
"02/26/2023","12,290.81","12,106.79","12,300.46","11,830.09","1.32B","2.68%"
"02/19/2023","11,969.65","12,205.21","12,257.06","11,900.84","1.11B","-3.14%"
"02/12/2023","12,358.18","12,356.50","12,689.34","12,233.79","1.34B","0.43%"
"02/05/2023","12,304.92","12,468.81","12,771.58","12,204.22","1.46B","-2.13%"
"01/29/2023","12,573.36","12,047.16","12,880.98","11,906.11","1.70B","3.34%"
"01/22/2023","12,166.60","11,652.00","12,248.15","11,550.07","1.38B","4.71%"
"01/15/2023","11,619.03","11,531.55","11,690.27","11,251.94","1.14B","0.67%"
"01/08/2023","11,541.48","11,133.07","11,547.96","11,050.68","1.28B","4.54%"
"01/01/2023","11,040.35","11,038.42","11,093.10","10,696.42","1.18B","0.92%"
"12/25/2022","10,939.76","10,944.30","10,981.06","10,671.19","886.80M","-0.42%"
"12/18/2022","10,985.45","11,243.00","11,285.77","10,784.01","1.29B","-2.30%"
"12/11/2022","11,243.72","11,572.26","12,166.41","11,175.54","2.08B","-2.76%"
"12/04/2022","11,563.33","11,899.54","11,957.35","11,431.96","1.17B","-3.59%"
"11/27/2022","11,994.26","11,684.07","12,115.34","11,450.34","1.42B","2.03%"
"11/20/2022","11,756.03","11,623.35","11,866.42","11,503.34","720.09M","0.68%"
"11/13/2022","11,677.02","11,728.11","12,024.95","11,519.38","1.30B","-1.18%"
"11/06/2022","11,817.01","10,900.83","11,840.07","10,790.35","1.60B","8.84%"
"10/30/2022","10,857.03","11,465.21","11,574.39","10,632.39","1.57B","-5.97%"
"10/23/2022","11,546.21","11,321.11","11,681.85","11,166.49","1.59B","2.09%"
"10/16/2022","11,310.33","10,967.25","11,374.38","10,959.75","1.33B","5.78%"
"10/09/2022","10,692.06","11,048.51","11,152.89","10,440.64","1.42B","-3.15%"
"10/02/2022","11,039.47","11,059.17","11,660.55","10,985.01","1.34B","0.62%"
"09/25/2022","10,971.22","11,283.14","11,546.87","10,966.95","1.41B","-3.01%"
"09/18/2022","11,311.24","11,753.60","12,062.52","11,169.66","1.25B","-4.64%"
"09/11/2022","11,861.38","12,649.23","12,752.83","11,710.25","1.87B","-5.77%"
"09/04/2022","12,588.29","12,106.57","12,610.43","11,928.81","941.72M","4.05%"
"08/28/2022","12,098.44","12,488.46","12,594.34","12,012.98","1.29B","-4.02%"
"08/21/2022","12,605.17","13,056.39","13,175.25","12,603.41","1.10B","-4.82%"
"08/14/2022","13,242.90","13,529.66","13,720.91","13,210.82","982.54M","-2.38%"
"08/07/2022","13,565.87","13,227.09","13,565.87","12,945.60","1.08B","2.71%"
"07/31/2022","13,207.69","12,877.04","13,326.72","12,809.01","1.16B","2.01%"
"07/24/2022","12,947.98","12,391.21","12,986.64","12,051.21","1.32B","4.45%"
"07/17/2022","12,396.47","12,089.68","12,662.86","11,836.52","1.20B","3.45%"
"07/10/2022","11,983.62","12,008.76","12,026.06","11,488.27","1.08B","-1.17%"
"07/03/2022","12,125.69","11,419.34","12,179.32","11,366.07","851.83M","4.66%"
"06/26/2022","11,585.68","12,157.93","12,175.98","11,322.86","1.17B","-4.30%"
"06/19/2022","12,105.85","11,446.99","12,112.82","11,423.20","1.18B","7.45%"
"06/12/2022","11,265.99","11,472.19","11,751.30","11,037.21","1.84B","-4.79%"
"06/05/2022","11,832.82","12,745.89","12,804.46","11,825.35","1.10B","-5.70%"
"05/29/2022","12,548.02","12,688.95","12,897.63","12,447.77","1.08B","-1.05%"
"05/22/2022","12,681.42","11,867.08","12,682.58","11,576.11","1.18B","7.15%"
"05/15/2022","11,835.62","12,297.07","12,572.99","11,492.29","1.30B","-4.45%"
"05/08/2022","12,387.40","12,465.91","12,542.32","11,692.12","1.52B","-2.41%"
"05/01/2022","12,693.53","12,864.83","13,556.67","12,522.77","1.36B","-1.25%"
"04/24/2022","12,854.80","13,275.41","13,542.56","12,835.48","1.37B","-3.76%"
"04/17/2022","13,356.87","13,859.47","14,277.21","13,342.79","1.06B","-3.86%"
"04/10/2022","13,893.22","14,149.60","14,264.74","13,882.75","818.25M","-3.03%"
"04/03/2022","14,327.26","14,903.38","15,161.89","14,307.68","1.04B","-3.59%"
"03/27/2022","14,861.21","14,763.16","15,265.42","14,705.92","1.12B","0.72%"
"03/20/2022","14,754.31","14,377.15","14,805.88","14,190.53","1.12B","2.32%"
"03/13/2022","14,420.08","13,248.09","14,427.47","13,020.40","1.69B","8.41%"
"03/06/2022","13,301.83","13,853.53","13,879.10","13,129.40","1.35B","-3.87%"
"02/27/2022","13,837.83","14,058.61","14,342.56","13,738.61","1.28B","-2.48%"
"02/20/2022","14,189.16","13,892.81","14,193.00","13,065.44","1.13B","1.28%"
"02/13/2022","14,009.54","14,233.40","14,647.79","13,918.76","1.16B","-1.71%"
"02/06/2022","14,253.84","14,716.43","15,057.90","14,194.54","1.18B","-3.00%"
"01/30/2022","14,694.35","14,505.07","15,196.40","14,442.88","1.39B","1.66%"
"01/23/2022","14,454.61","14,160.91","14,646.54","13,724.85","1.60B","0.11%"
"01/16/2022","14,438.40","15,378.06","15,446.30","14,432.64","1.15B","-7.51%"
"01/09/2022","15,611.59","15,383.18","16,017.39","15,165.53","1.12B","0.12%"
"01/02/2022","15,592.19","16,395.51","16,513.87","15,526.80","1.14B","-4.46%"
"12/26/2021","16,320.08","16,361.07","16,607.19","16,317.26","694.68M","0.07%"
"12/19/2021","16,308.21","15,566.83","16,360.75","15,508.74","753.21M","3.21%"
"12/12/2021","15,801.46","16,317.90","16,340.53","15,664.10","1.59B","-3.25%"
"12/05/2021","16,331.98","15,744.91","16,413.28","15,557.78","1.11B","3.95%"
"11/28/2021","15,712.04","16,263.43","16,454.56","15,543.31","1.43B","-1.96%"
"11/21/2021","16,025.58","16,644.77","16,764.85","15,988.95","815.00M","-3.31%"
"11/14/2021","16,573.34","16,227.01","16,625.86","16,096.37","986.03M","2.31%"
"11/07/2021","16,199.89","16,351.49","16,401.93","15,905.28","888.22M","-0.97%"
"10/31/2021","16,359.38","15,879.61","16,454.48","15,785.31","980.24M","3.21%"
"10/24/2021","15,850.47","15,417.25","15,856.90","15,338.49","963.88M","3.23%"
"10/17/2021","15,355.07","15,091.58","15,497.58","15,074.71","766.66M","1.37%"
"10/10/2021","15,146.92","14,765.69","15,150.14","14,636.33","842.62M","2.20%"
"10/03/2021","14,820.75","14,713.60","15,010.32","14,384.93","886.76M","0.20%"
"09/26/2021","14,791.87","15,205.23","15,240.58","14,555.12","973.54M","-3.51%"
"09/19/2021","15,329.68","15,068.65","15,356.92","14,821.03","828.22M","-0.02%"
"09/12/2021","15,333.47","15,545.66","15,562.28","15,291.04","1.15B","-0.69%"
"09/05/2021","15,440.75","15,662.30","15,701.40","15,433.43","627.56M","-1.36%"
"08/29/2021","15,652.86","15,460.93","15,696.42","15,459.74","797.17M","1.42%"
"08/22/2021","15,432.95","15,140.14","15,447.03","15,140.14","776.08M","2.26%"
"08/15/2021","15,092.57","15,090.05","15,142.03","14,773.19","832.24M","-0.29%"
"08/08/2021","15,136.68","15,136.14","15,169.45","14,956.25","718.38M","0.18%"
"08/01/2021","15,109.36","15,046.10","15,184.27","14,864.53","823.25M","1.00%"
"07/25/2021","14,959.90","15,088.28","15,142.35","14,787.80","957.73M","-1.01%"
"07/18/2021","15,111.79","14,517.96","15,125.84","14,455.07","940.28M","2.93%"
"07/11/2021","14,681.38","14,878.71","15,002.28","14,667.10","762.13M","-0.98%"
"07/04/2021","14,826.09","14,755.15","14,891.19","14,551.76","655.67M","0.67%"
"06/27/2021","14,727.63","14,401.63","14,738.14","14,400.59","757.66M","2.67%"
"06/20/2021","14,345.18","14,055.03","14,429.14","13,967.89","836.58M","2.10%"
"06/13/2021","14,049.58","14,002.14","14,205.43","13,843.60","1.06B","0.37%"
"06/06/2021","13,998.30","13,744.15","13,998.65","13,710.11","771.76M","1.65%"
"05/30/2021","13,770.77","13,764.27","13,784.77","13,469.85","615.30M","0.62%"
"05/23/2021","13,686.51","13,504.39","13,765.80","13,500.12","934.75M","2.05%"
"05/16/2021","13,411.74","13,329.86","13,573.84","12,994.35","879.27M","0.14%"
"05/09/2021","13,393.11","13,647.73","13,648.49","12,967.18","1.02B","-2.38%"
"05/02/2021","13,719.63","13,923.04","13,955.00","13,396.11","932.24M","-1.02%"
"04/25/2021","13,860.76","13,954.94","14,073.48","13,836.10","936.86M","-0.58%"
"04/18/2021","13,941.44","13,970.83","14,025.64","13,716.76","850.56M","-0.72%"
"04/11/2021","14,041.91","13,792.74","14,050.38","13,747.63","877.19M","1.42%"
"04/04/2021","13,845.06","13,434.04","13,849.31","13,420.81","810.99M","3.87%"
"03/28/2021","13,329.51","12,950.51","13,333.41","12,798.03","807.34M","2.70%"
"03/21/2021","12,979.12","12,943.14","13,180.66","12,627.92","1.09B","0.87%"
"03/14/2021","12,866.99","12,936.13","13,297.48","12,704.07","1.39B","-0.54%"
"03/07/2021","12,937.29","12,629.56","13,117.86","12,287.57","1.14B","2.12%"
"02/28/2021","12,668.51","13,106.02","13,301.62","12,208.39","1.24B","-1.87%"
"02/21/2021","12,909.44","13,414.04","13,447.37","12,758.12","1.27B","-4.94%"
"02/14/2021","13,580.78","13,841.03","13,879.77","13,477.17","694.83M","-1.64%"
"02/07/2021","13,807.70","13,672.33","13,816.25","13,531.93","803.05M","1.50%"
"01/31/2021","13,603.96","13,067.65","13,642.96","12,983.10","939.98M","5.25%"
"01/24/2021","12,925.38","13,515.63","13,563.70","12,845.43","1.28B","-3.30%"
"01/17/2021","13,366.40","12,921.61","13,433.69","12,861.30","798.70M","4.39%"
"01/10/2021","12,803.93","12,961.50","13,037.05","12,758.10","1.03B","-2.30%"
"01/03/2021","13,105.20","12,950.22","13,113.09","12,537.42","1.10B","1.68%"
"12/27/2020","12,888.28","12,813.97","12,925.53","12,747.05","596.03M","1.39%"
"12/20/2020","12,711.01","12,575.60","12,761.23","12,474.03","611.70M","-0.21%"
"12/13/2020","12,738.18","12,427.86","12,793.47","12,426.25","1.45B","2.93%"
"12/06/2020","12,375.41","12,523.57","12,651.35","12,226.13","918.90M","-1.22%"
"11/29/2020","12,528.48","12,278.78","12,538.92","12,090.93","1.11B","2.20%"
"11/22/2020","12,258.21","11,959.89","12,306.71","11,817.53","667.16M","2.95%"
"11/15/2020","11,906.44","11,925.36","12,047.13","11,842.67","980.97M","-0.26%"
"11/08/2020","11,937.84","12,194.71","12,268.66","11,512.46","1.12B","-1.27%"
